Invoice No;Invoice Date;Party Name;City;State;Cat No;Product Description;Product Category;Quantity;Rate;Total Amt;Net Amount;TCS;Freight;Disc %;Adjustment Of Goods Return;LR No;LR Date;Transporter Name;Order No;PO No;Order Dt;Sales Person Name
JSC-01006/25-26;10.06.2025;Pattanaik Scientific Supply Syndicate (WHM);Bhubaneswar;Odisha;1001-240;GR 1 24.0CM 100/PK;467 CF Lab Catalogue Qualitative;5;4234;21170;;;;42.00;0;100422701;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00987/25-26;005/PSSS;09.06.2025;Arnab
JSC-01006/25-26;10.06.2025;Pattanaik Scientific Supply Syndicate (WHM);Bhubaneswar;Odisha;1442-110;GR 42 11CM 100/PK;468 CF Lab Catalogue Quantitative;5;2888.4;14442;;;;42.00;0;100422701;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00987/25-26;005/PSSS;09.06.2025;Arnab
JSC-01006/25-26;10.06.2025;Pattanaik Scientific Supply Syndicate (WHM);Bhubaneswar;Odisha;1442-125;GR 42 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;2;3427.8;6855.6;;;;42.00;0;100422701;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00987/25-26;005/PSSS;09.06.2025;Arnab
JSC-01006/25-26;10.06.2025;Pattanaik Scientific Supply Syndicate (WHM);Bhubaneswar;Odisha;1442-150;GR 42 15CM 100/PK;468 CF Lab Catalogue Quantitative;2;4564.6;9129.2;;;;42.00;0;100422701;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00987/25-26;005/PSSS;09.06.2025;Arnab
JSC-01006/25-26;10.06.2025;Pattanaik Scientific Supply Syndicate (WHM);Bhubaneswar;Odisha;1442-185;GR 42 18.5CM 100/PK;468 CF Lab Catalogue Quantitative;5;7482;37410;;;;42.00;0;100422701;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00987/25-26;005/PSSS;09.06.2025;Arnab
JSC-01007/25-26;10.06.2025;DODAL ENTERPRISES(NEW);Aurangabad;Maharashtra;1001-090;GR 1 9.0CM 100/PK;467 CF Lab Catalogue Qualitative;35;910.6;31871;37726;0;100;42.00;0;200325762;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00981/25-26;W6002;09.06.2025;Ashish
JSC-01008/25-26;10.06.2025;VASA SCIENTIFIC CO.(BANGALORE);Banglore;Karnataka;1823-150;GF/D 15CM 25/PK;461 GF Lab Catalogue;1;12893.4;12893.4;32758;0;100;42.00;0;200325763;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00735/25-26,SOP-00675/25-26;2500819,2500769 /2500806;19.05.2025;Vishnu Kiran
JSC-01008/25-26;10.06.2025;VASA SCIENTIFIC CO.(BANGALORE);Banglore;Karnataka;6784-2504;PURADISC 25/0.45 PTFE 50/PK;490 EF Lab Cat Syringe Filters;1;14767.2;14767.2;;;;37.00;0;200325763;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00735/25-26,SOP-00675/25-26;2500819,2500769 /2500806;19.05.2025;Vishnu Kiran
JSC-01009/25-26;10.06.2025;SAI CHEM;Alwar;Rajasthan;1820-025;GF/A 2.5CM 100/PK;461 GF Lab Catalogue;2;2337.4;4674.8;29841;0;100;42.00;0;200277175;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00976/25-26;aax;07.06.2025;Rakesh Ranjan
JSC-01009/25-26;10.06.2025;SAI CHEM;Alwar;Rajasthan;1822-025;GF/C 2.5CM 100/PK;461 GF Lab Catalogue;9;2279.4;20514.6;;;;42.00;0;200277175;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00976/25-26;aax;07.06.2025;Rakesh Ranjan
JSC-01010/25-26;10.06.2025;GYAN SCI TRADERS (I) P.LTD.;Lucknow;Uttar Pradesh;1541-125;GR 541 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;5;4089;20445;24243;0;100;42.00;0;200325764;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00974/25-26;1;07.06.2025;Jitender
JSC-01011/25-26;10.06.2025;S. V. SCIENTIFIC CO;Muzaffarnagar;Uttar Pradesh;1005-090;GR 5 9CM 100/PK;467 CF Lab Catalogue Qualitative;2;1316.6;2633.2;3225;0;100;42.00;0;200325766;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00969/25-26;SVS/25-26/June/1;07.06.2025;Nitin
JSC-01012/25-26;10.06.2025;EQUISOLV SCIENTIFIC SOLUTIONS LLP;Panaji;Goa;9910-2504;Whatman Uniflo 25mm 0.45 Nylon 500/PK;490 EF Lab Cat Syringe Filters;3;12322.8;36968.4;44508;0;750;37.00;0;100422812;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00971/25-26;ESS/25-26/56;07.06.2025;Rahul
JSC-01013/25-26;10.06.2025;AIC ENTERPRISES PRIVATE LIMITED;Banglore;Karnataka;1003-125;GR 3 12.5CM 100/PK;467 CF Lab Catalogue Qualitative;2;2424.4;4848.8;5722;0;0;42.00;0;200277176;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00963/25-26;23244I460811355;06.06.2025;Vishnu Kiran
JSC-01014/25-26;10.06.2025;CALGON SCIENTIFIC CO;Kochi;Kerala;1004-150;GR 4 15CM 100/PK;467 CF Lab Catalogue Qualitative;5;2111.2;10556;38357;0;450;42.00;0;100422813;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00966/25-26,SOP-00968/25-26;CS/OR/2025-26/4124,CSC/JAY-SCI/2025-2026/055;07.06.2025;Elumalai
JSC-01014/25-26;10.06.2025;CALGON SCIENTIFIC CO;Kochi;Kerala;66191ME;ME25/21 ST 0.45uM 47MM 2000/PK;Pall;1;21500;21500;;;;86.41;0;100422813;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00966/25-26,SOP-00968/25-26;CS/OR/2025-26/4124,CSC/JAY-SCI/2025-2026/055;07.06.2025;Elumalai
JSC-01015/25-26;10.06.2025;JIGNESH AGENCY PVT. LTD (MUMBAI);Thane;Maharashtra;NR047100I;Ultipor Nylon Filter Disc 47mm 100pk;PALL LIFESCIENCE;20;850;17000;20178;0;100;83.96;0;200325765;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00989/25-26;1842;09.06.2025;Rahul
JSC-01016/25-26;10.06.2025;RESEARCH AID INSTRUMENTS & SERVICES;Baddi;Himachal Pradesh;9910-2504;Whatman Uniflo 25mm 0.45 Nylon 500/PK;490 EF Lab Cat Syringe Filters;5;10000;50000;244307;0;1800;48.88;0;51599596860;10.06.2025;BLUE DART EXPRESS LTD;SOP-00965/25-26;RAB/06062025;06.06.2025;Nitin
JSC-01016/25-26;10.06.2025;RESEARCH AID INSTRUMENTS & SERVICES;Baddi;Himachal Pradesh;6874-2504;GD/X 25/0.45 PTFE 150/PK;490 EF Lab Cat Syringe Filters;1;24903.9;24903.9;;;;37.00;0;51599596860;10.06.2025;BLUE DART EXPRESS LTD;SOP-00965/25-26;RAB/06062025;06.06.2025;Nitin
JSC-01016/25-26;10.06.2025;RESEARCH AID INSTRUMENTS & SERVICES;Baddi;Himachal Pradesh;9909-2504;Whatman Uniflo 25mm 0.45 PVDF 500/PK;490 EF Lab Cat Syringe Filters;10;12000;120000;;;;51.94;0;51599596860;10.06.2025;BLUE DART EXPRESS LTD;SOP-00965/25-26;RAB/06062025;06.06.2025;Nitin
JSC-01016/25-26;10.06.2025;RESEARCH AID INSTRUMENTS & SERVICES;Baddi;Himachal Pradesh;1003-070;GR 3 7.0CM 100/PK;467 CF Lab Catalogue Qualitative;6;1722.6;10335.6;;;;42.00;0;51599596860;10.06.2025;BLUE DART EXPRESS LTD;SOP-00965/25-26;RAB/06062025;06.06.2025;Nitin
JSC-01017/25-26;10.06.2025;HINDUSTAN TRADERS (NEW);Rourkela;Odisha;1703-050;ASHLESS CLIPPINGS 500g/PK;471 Lab Catalogue Speciality;20;4754.4;95088;125472;0;1500;44.00;0;51599596742;10.06.2025;BLUE DART EXPRESS LTD;SOP-00979/25-26;HT/25-26/HT/09.06.25;09.06.2025;Arnab
JSC-01017/25-26;10.06.2025;HINDUSTAN TRADERS (NEW);Rourkela;Odisha;1822-047;GF/C 4.7CM 100/PK;461 GF Lab Catalogue;3;3248;9744;;;;44.00;0;51599596742;10.06.2025;BLUE DART EXPRESS LTD;SOP-00979/25-26;HT/25-26/HT/09.06.25;09.06.2025;Arnab
JSC-01018/25-26;10.06.2025;MALTI LAB SOLUTIONS PRIVATE LIMITED;Thane;Maharashtra;1442-185;GR 42 18.5CM 100/PK;468 CF Lab Catalogue Quantitative;2;7482;14964;17776;0;100;42.00;0;1,00E+11;10.06.2025;TRACKON COURIERS PVT.LTD.;SOP-00978/25-26;ME/TARAPUR/MEHTA/7/6/ASHISH;07.06.2025;Rahul
JSC-01019/25-26;10.06.2025;GTC LABCHEM PRIVATE LIMITED;Vadodara;Gujarat;1003-110;GR 3 11.0CM 100/PK;467 CF Lab Catalogue Qualitative;3;1763.2;5289.6;6301;0;50;42.00;0;2,01E+11;10.06.2025;Mahavir Courier;SOP-00992/25-26;36;09.06.2025;Shishir
JSC-01020/25-26;10.06.2025;KASLIWAL BROS.(RAIPUR);Raipur;Chhattisgarh;1004-125;GR 4 12.5CM 100/PK;467 CF Lab Catalogue Qualitative;10;1456;14560;478018;0;0;44.00;0;282183665;10.06.2025;DELHIVERY LIMITED;SOP-00991/25-26,SOP-00928/25-26;KBR/09832,KBR/34542;04.06.2025;Jitender
JSC-01020/25-26;10.06.2025;KASLIWAL BROS.(RAIPUR);Raipur;Chhattisgarh;1440-125;GR 40 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;50;3337.6;166880;;;;44.00;0;282183665;10.06.2025;DELHIVERY LIMITED;SOP-00991/25-26,SOP-00928/25-26;KBR/09832,KBR/34542;04.06.2025;Jitender
JSC-01020/25-26;10.06.2025;KASLIWAL BROS.(RAIPUR);Raipur;Chhattisgarh;1440-012;GR 40 1.27CM 400/PK;468 CF Lab Catalogue Quantitative;100;1804;180400;;;;45.00;0;282183665;10.06.2025;DELHIVERY LIMITED;SOP-00991/25-26,SOP-00928/25-26;KBR/09832,KBR/34542;04.06.2025;Jitender
JSC-01020/25-26;10.06.2025;KASLIWAL BROS.(RAIPUR);Raipur;Chhattisgarh;2800-300;THIMBLE ST 30x100MM 25/PK;469 CF Lab Catalogue Thimbles;5;8652;43260;;;;44.00;0;282183665;10.06.2025;DELHIVERY LIMITED;SOP-00991/25-26,SOP-00928/25-26;KBR/09832,KBR/34542;04.06.2025;Jitender
JSC-01021/25-26;10.06.2025;ABSOLUTE FILTERTECH;Ahmedabad;Gujarat;4622;VacuCap 90mm SUPOR .2um gam 10pk;PALL LIFESCIENCE;10;12500;125000;444152;0;1400;39.96;0;282185866;10.06.2025;DELHIVERY LIMITED;SOP-00639/25-26,SOP-00641/25-26,SOP-00642/25-26;AF-P-020/25-26 (June-Schedule),AF-P-020/25-26 (July-Schedule),AF-P-020/25-26 (Aug-Schedule);16.05.2025;Shishir
JSC-01021/25-26;10.06.2025;ABSOLUTE FILTERTECH;Ahmedabad;Gujarat;4622;VacuCap 90mm SUPOR .2um gam 10pk;PALL LIFESCIENCE;10;12500;125000;;;;39.96;0;282185866;10.06.2025;DELHIVERY LIMITED;SOP-00639/25-26,SOP-00641/25-26,SOP-00642/25-26;AF-P-020/25-26 (June-Schedule),AF-P-020/25-26 (July-Schedule),AF-P-020/25-26 (Aug-Schedule);16.05.2025;Shishir
JSC-01021/25-26;10.06.2025;ABSOLUTE FILTERTECH;Ahmedabad;Gujarat;4622;VacuCap 90mm SUPOR .2um gam 10pk;PALL LIFESCIENCE;10;12500;125000;;;;39.96;0;282185866;10.06.2025;DELHIVERY LIMITED;SOP-00639/25-26,SOP-00641/25-26,SOP-00642/25-26;AF-P-020/25-26 (June-Schedule),AF-P-020/25-26 (July-Schedule),AF-P-020/25-26 (Aug-Schedule);16.05.2025;Shishir
JSC-01022/25-26;10.06.2025;AIC ENTERPRISES PRIVATE LIMITED;Banglore;Karnataka;1441-090;GR 41 9CM 100/PK;468 CF Lab Catalogue Quantitative;1;2412.8;2412.8;2965;0;100;42.00;0;200277176;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00994/25-26;23244I460811400;09.06.2025;Vishnu Kiran
JSC-01023/25-26;10.06.2025;BUREAU VERITAS INDIA PRIVATE LIMITED;Banglore;Karnataka;1440-125;GR 40 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;10;3348;33480;79013;0;0;43.83;0;51599596716;10.06.2025;BLUE DART EXPRESS LTD;SOP-00995/25-26;25039318-OP-00259;09.06.2025;Vishnu Kiran
JSC-01023/25-26;10.06.2025;BUREAU VERITAS INDIA PRIVATE LIMITED;Banglore;Karnataka;1442-125;GR 42 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;10;3348;33480;;;;43.35;0;51599596716;10.06.2025;BLUE DART EXPRESS LTD;SOP-00995/25-26;25039318-OP-00259;09.06.2025;Vishnu Kiran
JSC-01024/25-26;10.06.2025;UPPER INDIA SCIENTIFIC CO. (NAGPUR);Nagpur;Maharashtra;1440-012;GR 40 1.27CM 400/PK;468 CF Lab Catalogue Quantitative;8;1902.4;15219.2;51762;0;250;42.00;0;200277177;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00998/25-26;AK/249;09.06.2025;Ashish
JSC-01024/25-26;10.06.2025;UPPER INDIA SCIENTIFIC CO. (NAGPUR);Nagpur;Maharashtra;1441-150;GR 41 15CM 100/PK;468 CF Lab Catalogue Quantitative;6;4732.8;28396.8;;;;42.00;0;200277177;10.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-00998/25-26;AK/249;09.06.2025;Ashish
JSC-01025/25-26;10.06.2025;INTERNATIONAL TRADERS.(DELHI);Delhi;Delhi;7404-004;NYL 47MM 0.45uM 100/PK;478 Lab Membranes - Catalogue;2;8027.2;16054.4;20124;0;1000;42.00;0;58933431771;10.06.2025;BLUE DART EXPRESS LTD;SOP-00933/25-26;Email;04.06.2025;Rakesh Ranjan
JSC-01026/25-26;12.06.2025;THE CHEMICAL CENTRE;Udaipur;Rajasthan;1004-125;GR 4 12.5CM 100/PK;467 CF Lab Catalogue Qualitative;125;1508;188500;770634;0;0;42.00;0;BWD/50277;12.06.2025;NEW TAKATUKA TRANSPORT;SOP-01024/25-26;PO25-0173;10.06.2025;Jitender
JSC-01026/25-26;12.06.2025;THE CHEMICAL CENTRE;Udaipur;Rajasthan;1440-125;GR 40 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;125;3456.8;432100;;;;42.00;0;BWD/50277;12.06.2025;NEW TAKATUKA TRANSPORT;SOP-01024/25-26;PO25-0173;10.06.2025;Jitender
JSC-01026/25-26;12.06.2025;THE CHEMICAL CENTRE;Udaipur;Rajasthan;1441-110;GR 41 11CM 100/PK;468 CF Lab Catalogue Quantitative;10;3248;32480;;;;42.00;0;BWD/50277;12.06.2025;NEW TAKATUKA TRANSPORT;SOP-01024/25-26;PO25-0173;10.06.2025;Jitender
JSC-01027/25-26;12.06.2025;DODAL ENTERPRISES(NEW);Pune;Maharashtra;10534612;903 PROTEINSAVER US 100/PK;522 Proteinsaver 903;25;14023.8;350595;413702;0;0;37.00;0;BHN/183958;12.06.2025;Shree Nageshwar Transport;SOP-01003/25-26;W6003-p;10.06.2025;Ashish
JSC-01028/25-26;12.06.2025;UPPER INDIA SCIENTIFIC CO. (NAGPUR);Nagpur;Maharashtra;9910-2504;Whatman Uniflo 25mm 0.45 Nylon 500/PK;490 EF Lab Cat Syringe Filters;3;11931.6;35794.8;258980;0;0;39.00;0;Bwd/1062;12.06.2025;Jay Roadways;SOP-01007/25-26;AK/252;10.06.2025;Ashish
JSC-01028/25-26;12.06.2025;UPPER INDIA SCIENTIFIC CO. (NAGPUR);Nagpur;Maharashtra;1440-012;GR 40 1.27CM 400/PK;468 CF Lab Catalogue Quantitative;100;1836.8;183680;;;;44.00;0;Bwd/1062;12.06.2025;Jay Roadways;SOP-01007/25-26;AK/252;10.06.2025;Ashish
JSC-01029/25-26;12.06.2025;AIC SPECIALITIES;Chennai;Tamil Nadu;4612;Acrodisc 25mm SUPOR .2um gam 50pk;PALL LIFESCIENCE;100;3000;300000;354000;0;0;47.55;0;BHWN/207;12.06.2025;SHARMA TRANSPORT;SOP-00612/25-26;260810140;15.05.2025;Elumalai
JSC-01030/25-26;12.06.2025;VEHAN LIFESCIENCES INDIA PRIVATE LIMITED;Hyderabad;Telangana;9909-2502;Whatman Uniflo 25mm 0.22 PVDF 500/PK;490 EF Lab Cat Syringe Filters;10;12500;125000;1577660;0;12000;50.75;0;51599596753;12.06.2025;BLUE DART EXPRESS LTD;SOP-05188/24-25,SOP-05189/24-25;238 ( 15th May Schedule ),238 (30th June Schedule );11.02.2025;Sreenivas Mandadi
JSC-01030/25-26;12.06.2025;VEHAN LIFESCIENCES INDIA PRIVATE LIMITED;Hyderabad;Telangana;9909-2504;Whatman Uniflo 25mm 0.45 PVDF 500/PK;490 EF Lab Cat Syringe Filters;100;12000;1200000;;;;49.09;0;51599596753;12.06.2025;BLUE DART EXPRESS LTD;SOP-05188/24-25,SOP-05189/24-25;238 ( 15th May Schedule ),238 (30th June Schedule );11.02.2025;Sreenivas Mandadi
JSC-01031/25-26;12.06.2025;EURASIAN ASSOCIATES;Kolkata;West Bengal;4612;Acrodisc 25mm SUPOR .2um gam 50pk;PALL LIFESCIENCE;4;3603.6;14414.4;17717;0;600;37.00;0;51599596764;12.06.2025;BLUE DART EXPRESS LTD;SOP-00990/25-26;EA/25-26/06/JS/MK/003;09.06.2025;Arnab
JSC-01032/25-26;12.06.2025;LUPIN LIMITED NAGPUR;Nagpur;Maharashtra;66191;GN6 grid .45um 47mm gam bulk 2000pk;Pall Life Science;1;32000;32000;32000;0;0;0.00;0;51599596775;12.06.2025;BLUE DART EXPRESS LTD;SOP-01017/25-26;3300695880;28.05.2025;Ashish
JSC-01033/25-26;12.06.2025;GTC LABCHEM PRIVATE LIMITED;Vadodara;Gujarat;1440-125;GR 40 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;20;3456.8;69136;81816;0;200;42.00;0;2,01E+11;12.06.2025;Mahavir Courier;SOP-01006/25-26;37;10.06.2025;Shishir
JSC-01034/25-26;12.06.2025;VIJAY CHEMICALS;Pune;Maharashtra;4464;Acro Vent 37mm PTFE .2um HB 24pk;PALL LIFESCIENCE;2;15768.9;31537.8;84821;0;150;37.00;0;2,01E+11;12.06.2025;Mahavir Courier;SOP-01023/25-26;VC\PO\06\25-26\272;10.06.2025;Ashish
JSC-01034/25-26;12.06.2025;VIJAY CHEMICALS;Pune;Maharashtra;4654;Acrodisc 32mm SUPOR .45um gam 50pk;PALL LIFESCIENCE;5;8038.8;40194;;;;37.00;0;2,01E+11;12.06.2025;Mahavir Courier;SOP-01023/25-26;VC\PO\06\25-26\272;10.06.2025;Ashish
JSC-01035/25-26;12.06.2025;H.V.Technologies;Dehradun;Uttarakhand;1004-125;GR 4 12.5CM 100/PK;467 CF Lab Catalogue Qualitative;4;1508;6032;160872;0;450;42.00;0;100422702;12.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-01020/25-26;PO7191;11.06.2025;Nitin
JSC-01035/25-26;12.06.2025;H.V.Technologies;Dehradun;Uttarakhand;1820-090;GF/A 9.0CM 100/PK;461 GF Lab Catalogue;2;6623.6;13247.2;;;;42.00;0;100422702;12.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-01020/25-26;PO7191;11.06.2025;Nitin
JSC-01035/25-26;12.06.2025;H.V.Technologies;Dehradun;Uttarakhand;1820-866;GF/A 8x10IN 100/PK;461 GF Lab Catalogue;4;22353.2;89412.8;;;;42.00;0;100422702;12.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-01020/25-26;PO7191;11.06.2025;Nitin
JSC-01035/25-26;12.06.2025;H.V.Technologies;Dehradun;Uttarakhand;7592-104;PM 2.5 PTFE W/PP RING 50/PK;478 Lab Membranes - Catalogue;2;13595.2;27190.4;;;;42.00;0;100422702;12.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-01020/25-26;PO7191;11.06.2025;Nitin
JSC-01036/25-26;12.06.2025;JIGNESH AGENCY PVT. LTD (MUMBAI);Thane;Maharashtra;6870-2504;GD/X 25/0.45 NYL 150/PK;490 EF Lab Cat Syringe Filters;2;24853.5;49707;119232;0;200;37.00;0;100422703;12.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-01019/25-26,SOP-01005/25-26;1908,001869;11.06.2025;Rahul
JSC-01036/25-26;12.06.2025;JIGNESH AGENCY PVT. LTD (MUMBAI);Thane;Maharashtra;6872-2504;GD/X 25/0.45 PVDF 150/PK;490 EF Lab Cat Syringe Filters;1;26491.5;26491.5;;;;37.00;0;100422703;12.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-01019/25-26,SOP-01005/25-26;1908,001869;11.06.2025;Rahul
JSC-01036/25-26;12.06.2025;JIGNESH AGENCY PVT. LTD (MUMBAI);Thane;Maharashtra;9910-2504;Whatman Uniflo 25mm 0.45 Nylon 500/PK;490 EF Lab Cat Syringe Filters;2;12322.8;24645.6;;;;37.00;0;100422703;12.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-01019/25-26,SOP-01005/25-26;1908,001869;11.06.2025;Rahul
JSC-01037/25-26;12.06.2025;V.K.TRADERS (BHOPAL);Bhopal;Madhya Pradesh;1442-125;GR 42 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;5;3427.8;17139;36115;0;1200;42.00;0;58933431826;12.06.2025;BLUE DART EXPRESS LTD;SOP-01016/25-26;VKT/25-26/W/08NP;11.06.2025;Jitender
JSC-01037/25-26;12.06.2025;V.K.TRADERS (BHOPAL);Bhopal;Madhya Pradesh;1541-125;GR 541 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;3;4089;12267;;;;42.00;0;58933431826;12.06.2025;BLUE DART EXPRESS LTD;SOP-01016/25-26;VKT/25-26/W/08NP;11.06.2025;Jitender
JSC-01038/25-26;12.06.2025;PHARMAIDS AND EQUIPMENTS;Bicholim;Goa;1442-125;GR 42 12.5CM 100/PK;468 CF Lab Catalogue Quantitative;2;3427.8;6855.6;8208;0;100;42.00;0;200277196;12.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-01015/25-26;34/25-26;11.06.2025;Rahul
JSC-01039/25-26;12.06.2025;SHREE CHEMICALS;Ratnagiri;Maharashtra;1822-090;GF/C 9CM 100/PK;461 GF Lab Catalogue;7;7360.2;51521.4;60854;0;50;42.00;0;1,00E+11;12.06.2025;TRACKON COURIERS PVT.LTD.;SOP-01013/25-26;SCPO/0078/24-25;11.06.2025;Ashish
JSC-01040/25-26;12.06.2025;VASA SCIENTIFIC CO.(BANGALORE);Banglore;Karnataka;1001-917;GR 1 46X57CM 100/PK;467 CF Lab Catalogue Qualitative;10;10444;104440;368429;0;0;44.00;0;BHWN/206;12.06.2025;SHARMA TRANSPORT;SOP-01027/25-26,SOP-01025/25-26;2501178,25;11.06.2025;Vishnu Kiran
JSC-01040/25-26;12.06.2025;VASA SCIENTIFIC CO.(BANGALORE);Banglore;Karnataka;1822-047;GF/C 4.7CM 100/PK;461 GF Lab Catalogue;5;3248;16240;;;;44.00;0;BHWN/206;12.06.2025;SHARMA TRANSPORT;SOP-01027/25-26,SOP-01025/25-26;2501178,25;11.06.2025;Vishnu Kiran
JSC-01040/25-26;12.06.2025;VASA SCIENTIFIC CO.(BANGALORE);Banglore;Karnataka;1001-125;GR 1 12.5CM 100/PK;467 CF Lab Catalogue Qualitative;10;1086.4;10864;;;;44.00;0;BHWN/206;12.06.2025;SHARMA TRANSPORT;SOP-01027/25-26,SOP-01025/25-26;2501178,25;11.06.2025;Vishnu Kiran
JSC-01040/25-26;12.06.2025;VASA SCIENTIFIC CO.(BANGALORE);Banglore;Karnataka;1001-240;GR 1 24.0CM 100/PK;467 CF Lab Catalogue Qualitative;10;4088;40880;;;;44.00;0;BHWN/206;12.06.2025;SHARMA TRANSPORT;SOP-01027/25-26,SOP-01025/25-26;2501178,25;11.06.2025;Vishnu Kiran
JSC-01040/25-26;12.06.2025;VASA SCIENTIFIC CO.(BANGALORE);Banglore;Karnataka;1820-866;GF/A 8x10IN 100/PK;461 GF Lab Catalogue;1;21582.4;21582.4;;;;44.00;0;BHWN/206;12.06.2025;SHARMA TRANSPORT;SOP-01027/25-26,SOP-01025/25-26;2501178,25;11.06.2025;Vishnu Kiran
JSC-01040/25-26;12.06.2025;VASA SCIENTIFIC CO.(BANGALORE);Banglore;Karnataka;2800-280;THIMBLE ST 28x100MM 25/PK;469 CF Lab Catalogue Thimbles;6;8668.8;52012.8;;;;44.00;0;BHWN/206;12.06.2025;SHARMA TRANSPORT;SOP-01027/25-26,SOP-01025/25-26;2501178,25;11.06.2025;Vishnu Kiran
JSC-01040/25-26;12.06.2025;VASA SCIENTIFIC CO.(BANGALORE);Banglore;Karnataka;2814-199;THIMBLE HPGF 19x90MM 25/PK;462 GF Lab Catalogue Thimbles;4;14784;59136;;;;44.00;0;BHWN/206;12.06.2025;SHARMA TRANSPORT;SOP-01027/25-26,SOP-01025/25-26;2501178,25;11.06.2025;Vishnu Kiran
JSC-01040/25-26;12.06.2025;VASA SCIENTIFIC CO.(BANGALORE);Banglore;Karnataka;9913-2502;Whatman Uniflo 25mm 0.22 PVDF S 45/PK;490 EF Lab Cat Syringe Filters;5;2476.6;12383;;;;39.00;0;BHWN/206;12.06.2025;SHARMA TRANSPORT;SOP-01027/25-26,SOP-01025/25-26;2501178,25;11.06.2025;Vishnu Kiran
JSC-01041/25-26;12.06.2025;AIC ENTERPRISES PRIVATE LIMITED;Banglore;Karnataka;9913-2502;Whatman Uniflo 25mm 0.22 PVDF S 45/PK;490 EF Lab Cat Syringe Filters;2;2557.8;5115.6;6154;0;100;37.00;0;200277197;12.06.2025;IWAY LOGISTICS SERVICES PRIVATE LIMITED;SOP-01026/25-26;23244I460811465;11.06.2025;Vishnu Kiran
JSC-01042/25-26;12.06.2025;BHATT CHEMI GLASS.;Mumbai;Maharashtra;1005-090;GR 5 9CM 100/PK;467 CF Lab Catalogue Qualitative;3;1316.6;3949.8;4720;0;50;42.00;0;2,01E+11;12.06.2025;Mahavir Courier;SOP-01031/25-26;612-MUMBAI;11.06.2025;Rahul
JSC-01043/25-26;12.06.2025;THE ILECO;Chennai;Tamil Nadu;1001-090;GR 1 9.0CM 100/PK;467 CF Lab Catalogue Qualitative;5;910.6;4553;1043454;0;0;42.00;0;282253612;12.06.2025;DELHIVERY LIMITED;SOP-01032/25-26;337;11.06.2025;Elumalai
JSC-01043/25-26;12.06.2025;THE ILECO;Chennai;Tamil Nadu;1001-110;GR 1 11.0CM 100/PK;467 CF Lab Catalogue Qualitative;5;997.6;4988;;;;42.00;0;282253612;12.06.2025;DELHIVERY LIMITED;SOP-01032/25-26;337;11.06.2025;Elumalai
JSC-01043/25-26;12.06.2025;THE ILECO;Chennai;Tamil Nadu;1001-125;GR 1 12.5CM 100/PK;467 CF Lab Catalogue Qualitative;5;1125.2;5626;;;;42.00;0;282253612;12.06.2025;DELHIVERY LIMITED;SOP-01032/25-26;337;11.06.2025;Elumalai
